Id,Name,authorname,year,Type,synopsis,disposability
45,Los hijos del invierno,Marcos Ortega,1996,physical,Tragedia familiar en un pueblo nevado,true
46,Mundos paralelos,Laura Vega,2017,digital,Realidades alternas entrelazadas por el destino,false
47,El canto del silencio,Lucía Benítez,2000,physical,Drama musical sobre la pérdida de la voz,true
48,Humanidad 2.0,David Pardo,2024,digital,La humanidad se fusiona con la IA,true
49,El reloj sin tiempo,Julia Morales,1991,physical,Misterio filosófico sobre el destino,true
50,Vector Omega,Ricardo Campos,2016,digital,Agentes secretos entre corporaciones tecnológicas,false
51,Los vientos del olvido,Ana Cabrera,1998,physical,Historia romántica en una isla lejana,true
52,Red fantasma,Carlos Herrera,2015,digital,Un virus informático con conciencia propia,false
53,Sombras del ayer,Marta Gutiérrez,2002,physical,Relato sobre segundas oportunidades,true
54,La última señal,Tomás García,2020,digital,Misterio espacial en la frontera del universo,true
55,Leyendas de fuego,José Ramírez,1995,physical,Historias míticas del sur profundo,false
56,Identidad beta,Sofía Torres,2019,digital,Thriller psicológico en realidad aumentada,true
57,El eco del bosque,Andrés López,2004,physical,Misterio rural entre generaciones,true
58,Origen digital,Valeria Gómez,2018,digital,Una inteligencia artificial busca su creador,false
59,La ruta del trueno,Claudio Pérez,1999,physical,Aventura sobre exploradores en selvas olvidadas,true
60,Firewall,Paula Suárez,2017,digital,Una analista enfrenta ataques cibernéticos globales,true
61,Los ojos del abismo,Pedro Rojas,2003,physical,Suspenso psicológico bajo el mar,false
62,Conexión final,Laura Herrera,2022,digital,Última comunicación entre mundos virtuales,true
63,El mapa de los sueños,Cristina Rivera,2000,physical,Relato fantástico con tintes oníricos,true
64,Error 404,Manuel Ramírez,2021,digital,Misterio de desapariciones en línea,true
65,La promesa eterna,Natalia Vargas,1997,physical,Romance inmortal a través de los siglos,false
66,Data viva,Fernando Soto,2016,digital,Datos que cobran vida y amenazan al mundo,false
67,El reflejo de la luna,Isabela Pineda,1994,physical,Poético drama de reencuentros y pérdidas,true
68,Superficie cero,Óscar Ruiz,2019,digital,Una nave perdida en el espacio profundo,true
69,El jardín secreto,Carolina León,1993,physical,Misterio de herencias familiares,false
70,Archivo X-7,Ignacio Díaz,2020,digital,Investigación de conspiraciones globales,true
71,El puente invisible,Verónica Blanco,1996,physical,Drama romántico entre mundos paralelos,true
72,Red alfa beta,Miguel Vargas,2018,digital,Sistema global que predice el comportamiento humano,true
73,La dama del lago,Sandra Pérez,1991,physical,Reimaginación de una leyenda artúrica,false
74,Neural Link,Antonio Herrera,2024,digital,Conexión mental global entre humanos,true
75,El reloj del destino,Silvia Torres,2002,physical,Relato de viajes en el tiempo,true
76,Datos perdidos,Andrés Cabrera,2019,digital,Un periodista busca la verdad detrás de un apagón digital,false
77,Los pilares del eco,Julia Ramírez,1998,physical,Intriga arqueológica en templos antiguos,true
78,Realidad simulada,Lucía Fernández,2022,digital,Una simulación se sale de control,true
79,El bosque prohibido,Camilo López,1995,physical,Misterio y aventura en un bosque encantado,true
80,Sistema oscuro,Daniel Navarro,2017,digital,Corporaciones luchan por el control de la información,false
81,Las arenas del tiempo,Patricia Salgado,2004,physical,Exploradores atrapados en el desierto del tiempo,true
82,Transferencia,Roberto Gutiérrez,2019,digital,Almas humanas migran a cuerpos sintéticos,true
83,La sombra del faro,Alejandra Rojas,1990,physical,Romance y soledad junto al mar,true
84,Servidor caído,Esteban Torres,2023,digital,Distopía donde el Internet desaparece,false
85,Los días del trueno,Juan Vega,1997,physical,Epopeya bélica con tintes poéticos,false
86,Algoritmo alfa,María Campos,2020,digital,El futuro de la humanidad en manos de un programa,true
87,El rostro del pasado,Ricardo Salas,2003,physical,Misterio detectivesco entre ruinas antiguas,true
88,Consciencia digital,Paula Ramírez,2018,digital,Una IA lucha por su libre albedrío,true
89,El valle de las sombras,Daniel Pérez,1999,physical,Aventura épica sobre reinos olvidados,true
90,Terminal 9,Ana Gutiérrez,2019,digital,Intriga futurista en un aeropuerto orbital,false
91,El pacto del bosque,Tomás Fernández,1992,physical,Relato fantástico sobre pactos antiguos,true
92,Mente artificial,Laura Navarro,2021,digital,Una científica crea una conciencia sintética,true
93,El río del olvido,Sandra Morales,1990,physical,Tragedia y redención en un pequeño pueblo,false
94,Bit rot,Gonzalo Vega,2023,digital,Misterio cibernético sobre pérdida de datos,true
95,El legado perdido,Carla Torres,1998,physical,Aventura histórica entre ruinas ancestrales,false
96,Código rojo,Javier Herrera,2017,digital,Thriller tecnológico de espionaje y traición,false
97,La torre de cristal,Andrea Pérez,2001,physical,Fantasía épica sobre ambición y poder,true
98,XD,lunera,2025,physical,xdddd,true
99,Los ecos del silencio,Lucía Vega,1996,physical,Poética reflexión sobre la memoria,true
100,Red final,Carlos García,2024,digital,El último servidor del mundo guarda un secreto,false
